1	7	03.03.2026 18:19
1	0	03.03.2026 18:20
1	0	03.03.2026 18:23
1	2	03.03.2026 18:24
1	6	03.03.2026 18:26
1	0	03.03.2026 18:27
1	0	03.03.2026 18:28
1	6	03.03.2026 18:31
1	18	03.03.2026 18:34
1	11	03.03.2026 18:44
1	28	03.03.2026 18:45
1	0	03.03.2026 18:50
1	0	03.03.2026 18:56
1	0	03.03.2026 19:20
1	0	03.03.2026 19:20
1	0	03.03.2026 19:20
2	0	03.03.2026 19:20
1	0	03.03.2026 19:20
3	0	03.03.2026 19:20
1	0	03.03.2026 19:23
1	0	03.03.2026 19:23
1	0	03.03.2026 19:29
1	0	03.03.2026 19:29
1	19	03.03.2026 19:29
1	19	03.03.2026 19:29
1	18	03.03.2026 19:44
1	18	03.03.2026 19:44
1	0	03.03.2026 19:45
1	0	03.03.2026 19:45
2	0	03.03.2026 19:45
2	0	03.03.2026 19:45
1	18	03.03.2026 19:54
1	18	03.03.2026 19:54
1	0	03.03.2026 19:55
1	0	03.03.2026 19:55
1	0	03.03.2026 19:55
1	0	03.03.2026 19:55
2	14	03.03.2026 19:56
2	14	03.03.2026 19:56
3	0	03.03.2026 19:56
3	0	03.03.2026 19:56
1	18	03.03.2026 20:04
1	18	03.03.2026 20:04
1	0	03.03.2026 20:07
1	0	03.03.2026 20:07
1	0	03.03.2026 20:09
1	0	03.03.2026 20:10
2	23	03.03.2026 20:11
2	23	03.03.2026 20:11
1	0	03.03.2026 21:03
1	0	03.03.2026 21:03
1	0	03.03.2026 21:09
1	0	03.03.2026 21:09
1	8	03.03.2026 21:13
1	8	03.03.2026 21:13
